[2025-09-16 13:31:46,210] INFO django.server "POST /auth/save_timesheet_entries/ HTTP/1.1" 200 138
[2025-09-16 13:31:57,392] INFO django.server "GET /auth/timesheet/?consultant_id=13&year=2025&month=09 HTTP/1.1" 200 20809
[2025-09-16 13:31:57,481] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 13:31:57,481] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 13:31:57,586] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 13:31:57,590] INFO django.server "GET /static/custom_admin/js/timesheet.js HTTP/1.1" 200 7231
[2025-09-16 13:32:06,089] INFO django.server "GET /consultant/consultant_timesheet/?year=2025&month=09&mode=upload HTTP/1.1" 200 42319
[2025-09-16 13:32:06,131] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 13:32:06,145] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 13:32:06,151] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 13:32:06,405] WARNING django.request Not Found: /favicon.ico
[2025-09-16 13:32:06,406] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 2855
[2025-09-16 13:32:08,734] INFO django.server "POST /consultant/delete_timesheet/13/ HTTP/1.1" 200 63
[2025-09-16 13:32:10,813] INFO django.server "GET /auth/timesheet/?consultant_id=13&year=2025&month=09 HTTP/1.1" 200 18918
[2025-09-16 13:32:10,829] INFO django.server "GET /media/logo/logo.png HTTP/1.1" 200 12256
[2025-09-16 13:32:10,830] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
[2025-09-16 13:32:10,854] INFO django.server "GET /static/custom_admin/js/branding.js HTTP/1.1" 200 104
[2025-09-16 13:32:10,859] INFO django.server "GET /static/custom_admin/js/timesheet.js HTTP/1.1" 200 7231
[2025-09-16 13:32:18,029] INFO django.server "POST /consultant/upload_timesheet/13/ HTTP/1.1" 200 103
[2025-09-16 13:32:18,241] INFO django.server "GET /consultant/consultant_timesheet/?year=2025&month=09&mode=upload HTTP/1.1" 200 48259
[2025-09-16 13:32:19,848] INFO django.server "GET /auth/timesheet/?consultant_id=13&year=2025&month=09 HTTP/1.1" 200 26885
[2025-09-16 13:32:19,864] INFO django.server "GET /static/custom_admin/css/branding.css HTTP/1.1" 200 99
