Date,Start Time,End Time,Project name,Hours Worked,Task Name,Description
2024-06-01,09:00:00,12:00:00,vitigo,,designing,
2024-06-01,13:00:00,17:00:00,vitigo,,fundamanetal,
2024-06-02,10:00:00,15:00:00,vitigo,,â€¦,
2024-06-03,10:01:00,15:01:00,vitigo,,designing,
2024-06-04,10:02:00,15:02:00,vitigo,,fundamanetal,
2024-06-05,10:03:00,15:03:00,vitigo,,coding,
2024-06-06,10:04:00,15:04:00,vitigo,,coding,
2024-06-07,10:05:00,15:05:00,vitigo,,fundamanetal,
2024-06-08,10:06:00,15:06:00,vitigo,,testing,
2024-06-09,10:07:00,15:07:00,vitigo,,finishing,
2024-06-10,10:08:00,15:08:00,vitigo,,database,
2024-06-11,10:09:00,15:09:00,vitigo,,deployment,
2024-06-12,10:10:00,15:10:00,consultation,,designing,
2024-06-13,10:11:00,15:11:00,consultation,,fundamanetal,
2024-06-14,10:12:00,15:12:00,consultation,,â€¦,
2024-06-15,10:13:00,15:13:00,consultation,,designing,
2024-06-16,10:14:00,15:14:00,consultation,,fundamanetal,
2024-06-17,10:15:00,15:15:00,consultation,,coding,
2024-06-18,10:16:00,15:16:00,consultation,,coding,
2024-06-19,10:17:00,15:17:00,consultation,,fundamanetal,
2024-06-20,10:18:00,15:18:00,consultation,,testing,
2024-06-21,10:19:00,15:19:00,language,,finishing,
2024-06-22,10:20:00,15:20:00,language,,database,
2024-06-23,10:21:00,15:21:00,language,,deployment,
2024-06-24,10:22:00,15:22:00,language,,designing,
2024-06-25,10:23:00,15:23:00,language,,fundamanetal,
2024-06-26,10:24:00,15:24:00,language,,â€¦,
2024-06-27,10:25:00,15:25:00,language,,designing,
2024-06-28,10:26:00,23:26,language,,fundamanetal,
