Date,Start Time,End Time,Hours Worked,Task Name,Description
2024-06-01,13:00,17:00,,vitigo,
2024-06-02,10:00,15:00,,vitigo,
2024-06-03,10:01,15:01,,vitigo,
2024-06-04,10:02,15:02,,vitigo,
2024-06-05,10:03,15:03,,vitigo,
2024-06-06,10:04,15:04,,vitigo,
2024-06-07,10:05,15:05,,vitigo,
2024-06-08,10:06,15:06,,vitigo,
2024-06-09,10:07,15:07,,vitigo,
2024-06-10,10:08,15:08,,vitigo,
2024-06-11,10:09,15:09,,vitigo,
2024-06-12,10:10,15:10,,consultation,
2024-06-13,10:11,15:11,,consultation,
2024-06-14,10:12,15:12,,consultation,
2024-06-15,10:13,15:13,,consultation,
2024-06-16,10:14,15:14,,consultation,
2024-06-17,10:15,15:15,,consultation,
2024-06-18,10:16,15:16,,consultation,
2024-06-19,10:17,15:17,,consultation,
2024-06-20,10:18,15:18,,consultation,
2024-06-21,10:19,15:19,,language,
2024-06-22,10:20,15:20,,language,
2024-06-23,10:21,15:21,,language,
2024-06-24,10:22,15:22,,language,
2024-06-25,10:23,15:23,,language,
2024-06-26,10:24,15:24,,language,
2024-06-27,10:25,15:25,,language,
2024-06-28,10:26,15:26,,language,
2025-06-23,10:35,22:00,,bb,
